        thredsN        matrixN       row P,ms       col P,ms     block P,ms
---------------------------------------------------------------------------
              1             10             13              0              9
              1             60             31              0             39
              1            110            103              0            126
              1            160            210              0            286
              1            210            364              0            454
              1            260            558              0            694
              1            310            788              0            993
              1            360           1057              0           1337
              1            410           1362              0           1737
              1            460           1729              0           2177
              1            510           2426              0           2711
---------------------------------------------------------------------------
              2             10            153              0              6
              2             60             23              0             25
              2            110             58              0             67
              2            160            183              0            136
              2            210            258              0            232
              2            260            356              0            351
              2            310            477              0            498
              2            360            615              0            679
              2            410            769              0            877
              2            460            962              0           1100
              2            510           1334              0           1364
---------------------------------------------------------------------------
              3             10            114              0              9
              3             60             23              0             17
              3            110             55              0             47
              3            160            127              0            115
              3            210            203              0            156
              3            260            272              0            239
              3            310            348              0            343
              3            360            448              0            451
              3            410            567              0            594
              3            460            686              0            742
              3            510            919              0            917
---------------------------------------------------------------------------
              4             10            129              0              6
              4             60             26              0             15
              4            110             45              0             38
              4            160            119              0             94
              4            210            191              0            124
              4            260            247              0            185
              4            310            323              0            263
              4            360            440              0            337
              4            410            551              0            450
              4            460            688              0            558
              4            510            828              0            701
---------------------------------------------------------------------------
              5             10            112              0              6
              5             60             24              0             14
              5            110             52              0             31
              5            160            137              0             75
              5            210            195              0             98
              5            260            270              0            146
              5            310            352              0            203
              5            360            450              0            277
              5            410            585              0            359
              5            460            708              0            443
              5            510            886              0            548
---------------------------------------------------------------------------
              6             10            119              0              9
              6             60             20              0             15
              6            110             51              0             29
              6            160            133              0             76
              6            210            201              0             82
              6            260            273              0            126
              6            310            357              0            187
              6            360            454              0            237
              6            410            616              0            309
              6            460            734              0            404
              6            510            878              0            465
---------------------------------------------------------------------------
              7             10            112              0              7
              7             60             26              0             15
              7            110             51              0             30
              7            160            129              0             72
              7            210            212              0             71
              7            260            276              0            113
              7            310            349              0            160
              7            360            481              0            204
              7            410            577              0            266
              7            460            720              0            344
              7            510            917              0            439
---------------------------------------------------------------------------
              8             10           2509              0           2522
              8             60           2158              0           2525
              8            110             56              0             30
              8            160            117              0             54
              8            210            170              0             81
              8            260            250              0            107
              8            310            319              0            145
              8            360            435              0            176
              8            410            523              0            237
              8            460            636              0            309
              8            510            775              0            384
